,time,Room,Day,Class,Enrollment,Instructor,Str_Start,Str_End
0,1/1/1900 8:00,2160,Friday,NSSA( 241)-Intro.RoutingandSwitching,30,Sharon Mason,8:00,9:50
1,1/1/1900 8:30,2160,Friday,NSSA( 241)-Intro.RoutingandSwitching,30,Sharon Mason,8:00,9:50
2,1/1/1900 9:00,2160,Friday,NSSA( 241)-Intro.RoutingandSwitching,30,Sharon Mason,8:00,9:50
3,1/1/1900 9:30,2160,Friday,NSSA( 241)-Intro.RoutingandSwitching,30,Sharon Mason,8:00,9:50
4,1/1/1900 10:00,2160,Friday,N/A,0,N/A,N/A,N/A
5,1/1/1900 10:30,2160,Friday,N/A,0,N/A,N/A,N/A
6,1/1/1900 11:00,2160,Friday,N/A,0,N/A,N/A,N/A
7,1/1/1900 11:30,2160,Friday,N/A,0,N/A,N/A,N/A
8,1/1/1900 12:00,2160,Friday,NSSA( 241)-Intro.RoutingandSwitching,30,Sylvia Perez-Hardy,12:00,13:50
9,1/1/1900 12:30,2160,Friday,NSSA( 241)-Intro.RoutingandSwitching,30,Sylvia Perez-Hardy,12:00,13:50
10,1/1/1900 13:00,2160,Friday,NSSA( 241)-Intro.RoutingandSwitching,30,Sylvia Perez-Hardy,12:00,13:50
11,1/1/1900 13:30,2160,Friday,NSSA( 241)-Intro.RoutingandSwitching,30,Sylvia Perez-Hardy,12:00,13:50
12,1/1/1900 14:00,2160,Friday,NSSA( 241)-Intro.RoutingandSwitching,30,Bruce Hartpence,14:00,15:50
13,1/1/1900 14:30,2160,Friday,NSSA( 241)-Intro.RoutingandSwitching,30,Bruce Hartpence,14:00,15:50
14,1/1/1900 15:00,2160,Friday,NSSA( 241)-Intro.RoutingandSwitching,30,Bruce Hartpence,14:00,15:50
15,1/1/1900 15:30,2160,Friday,NSSA( 241)-Intro.RoutingandSwitching,30,Bruce Hartpence,14:00,15:50
16,1/1/1900 16:00,2160,Friday,N/A,0,N/A,N/A,N/A
17,1/1/1900 16:30,2160,Friday,N/A,0,N/A,N/A,N/A
18,1/1/1900 17:00,2160,Friday,N/A,0,N/A,N/A,N/A
19,1/1/1900 17:30,2160,Friday,N/A,0,N/A,N/A,N/A
20,1/1/1900 18:00,2160,Friday,N/A,0,N/A,N/A,N/A
21,1/1/1900 18:30,2160,Friday,N/A,0,N/A,N/A,N/A
22,1/1/1900 19:00,2160,Friday,N/A,0,N/A,N/A,N/A
23,1/1/1900 19:30,2160,Friday,N/A,0,N/A,N/A,N/A
24,1/1/1900 20:00,2160,Friday,N/A,0,N/A,N/A,N/A
25,1/1/1900 20:30,2160,Friday,N/A,0,N/A,N/A,N/A
26,1/1/1900 21:00,2160,Friday,N/A,0,N/A,N/A,N/A
27,1/1/1900 21:30,2160,Friday,,0,,21:30,22:00
28,1/1/1900 8:00,2160,Monday,,0,,8:00,8:30
29,1/1/1900 8:30,2160,Monday,N/A,0,N/A,N/A,N/A
30,1/1/1900 9:00,2160,Monday,N/A,0,N/A,N/A,N/A
31,1/1/1900 9:30,2160,Monday,N/A,0,N/A,N/A,N/A
32,1/1/1900 10:00,2160,Monday,N/A,0,N/A,N/A,N/A
33,1/1/1900 10:30,2160,Monday,N/A,0,N/A,N/A,N/A
34,1/1/1900 11:00,2160,Monday,N/A,0,N/A,N/A,N/A
35,1/1/1900 11:30,2160,Monday,N/A,0,N/A,N/A,N/A
36,1/1/1900 12:00,2160,Monday,N/A,0,N/A,N/A,N/A
37,1/1/1900 12:30,2160,Monday,N/A,0,N/A,N/A,N/A
38,1/1/1900 13:00,2160,Monday,N/A,0,N/A,N/A,N/A
39,1/1/1900 13:30,2160,Monday,N/A,0,N/A,N/A,N/A
40,1/1/1900 14:00,2160,Monday,N/A,0,N/A,N/A,N/A
41,1/1/1900 14:30,2160,Monday,N/A,0,N/A,N/A,N/A
42,1/1/1900 15:00,2160,Monday,N/A,0,N/A,N/A,N/A
43,1/1/1900 15:30,2160,Monday,N/A,0,N/A,N/A,N/A
44,1/1/1900 16:00,2160,Monday,N/A,0,N/A,N/A,N/A
45,1/1/1900 16:30,2160,Monday,N/A,0,N/A,N/A,N/A
46,1/1/1900 17:00,2160,Monday,N/A,0,N/A,N/A,N/A
47,1/1/1900 17:30,2160,Monday,N/A,0,N/A,N/A,N/A
48,1/1/1900 18:00,2160,Monday,N/A,0,N/A,N/A,N/A
49,1/1/1900 18:30,2160,Monday,N/A,0,N/A,N/A,N/A
50,1/1/1900 19:00,2160,Monday,N/A,0,N/A,N/A,N/A
51,1/1/1900 19:30,2160,Monday,N/A,0,N/A,N/A,N/A
52,1/1/1900 20:00,2160,Monday,N/A,0,N/A,N/A,N/A
53,1/1/1900 20:30,2160,Monday,N/A,0,N/A,N/A,N/A
54,1/1/1900 21:00,2160,Monday,N/A,0,N/A,N/A,N/A
55,1/1/1900 21:30,2160,Monday,,0,,21:30,22:00
56,1/1/1900 8:00,2160,Thursday,,0,,8:00,8:30
57,1/1/1900 8:30,2160,Thursday,N/A,0,N/A,N/A,N/A
58,1/1/1900 9:00,2160,Thursday,N/A,0,N/A,N/A,N/A
59,1/1/1900 9:30,2160,Thursday,N/A,0,N/A,N/A,N/A
60,1/1/1900 10:00,2160,Thursday,N/A,0,N/A,N/A,N/A
61,1/1/1900 10:30,2160,Thursday,N/A,0,N/A,N/A,N/A
62,1/1/1900 11:00,2160,Thursday,N/A,0,N/A,N/A,N/A
63,1/1/1900 11:30,2160,Thursday,N/A,0,N/A,N/A,N/A
64,1/1/1900 12:00,2160,Thursday,N/A,0,N/A,N/A,N/A
65,1/1/1900 12:30,2160,Thursday,N/A,0,N/A,N/A,N/A
66,1/1/1900 13:00,2160,Thursday,N/A,0,N/A,N/A,N/A
67,1/1/1900 13:30,2160,Thursday,N/A,0,N/A,N/A,N/A
68,1/1/1900 14:00,2160,Thursday,N/A,0,N/A,N/A,N/A
69,1/1/1900 14:30,2160,Thursday,N/A,0,N/A,N/A,N/A
70,1/1/1900 15:00,2160,Thursday,N/A,0,N/A,N/A,N/A
71,1/1/1900 15:30,2160,Thursday,N/A,0,N/A,N/A,N/A
72,1/1/1900 16:00,2160,Thursday,N/A,0,N/A,N/A,N/A
73,1/1/1900 16:30,2160,Thursday,N/A,0,N/A,N/A,N/A
74,1/1/1900 17:00,2160,Thursday,NSSA( 241)-Intro.RoutingandSwitching,30,Lawrence Hill,17:00,18:50
75,1/1/1900 17:30,2160,Thursday,NSSA( 241)-Intro.RoutingandSwitching,30,Lawrence Hill,17:00,18:50
76,1/1/1900 18:00,2160,Thursday,NSSA( 241)-Intro.RoutingandSwitching,30,Lawrence Hill,17:00,18:50
77,1/1/1900 18:30,2160,Thursday,NSSA( 241)-Intro.RoutingandSwitching,30,Lawrence Hill,17:00,18:50
78,1/1/1900 19:00,2160,Thursday,N/A,0,N/A,N/A,N/A
79,1/1/1900 19:30,2160,Thursday,N/A,0,N/A,N/A,N/A
80,1/1/1900 20:00,2160,Thursday,N/A,0,N/A,N/A,N/A
81,1/1/1900 20:30,2160,Thursday,N/A,0,N/A,N/A,N/A
82,1/1/1900 21:00,2160,Thursday,N/A,0,N/A,N/A,N/A
83,1/1/1900 21:30,2160,Thursday,,0,,21:30,22:00
84,1/1/1900 8:00,2160,Tuesday,,0,,8:00,8:30
85,1/1/1900 8:30,2160,Tuesday,N/A,0,N/A,N/A,N/A
86,1/1/1900 9:00,2160,Tuesday,N/A,0,N/A,N/A,N/A
87,1/1/1900 9:30,2160,Tuesday,N/A,0,N/A,N/A,N/A
88,1/1/1900 10:00,2160,Tuesday,N/A,0,N/A,N/A,N/A
89,1/1/1900 10:30,2160,Tuesday,N/A,0,N/A,N/A,N/A
90,1/1/1900 11:00,2160,Tuesday,N/A,0,N/A,N/A,N/A
91,1/1/1900 11:30,2160,Tuesday,N/A,0,N/A,N/A,N/A
92,1/1/1900 12:00,2160,Tuesday,N/A,0,N/A,N/A,N/A
93,1/1/1900 12:30,2160,Tuesday,N/A,0,N/A,N/A,N/A
94,1/1/1900 13:00,2160,Tuesday,N/A,0,N/A,N/A,N/A
95,1/1/1900 13:30,2160,Tuesday,N/A,0,N/A,N/A,N/A
96,1/1/1900 14:00,2160,Tuesday,N/A,0,N/A,N/A,N/A
97,1/1/1900 14:30,2160,Tuesday,N/A,0,N/A,N/A,N/A
98,1/1/1900 15:00,2160,Tuesday,N/A,0,N/A,N/A,N/A
99,1/1/1900 15:30,2160,Tuesday,N/A,0,N/A,N/A,N/A
100,1/1/1900 16:00,2160,Tuesday,N/A,0,N/A,N/A,N/A
101,1/1/1900 16:30,2160,Tuesday,N/A,0,N/A,N/A,N/A
102,1/1/1900 17:00,2160,Tuesday,NSSA( 441)-AdvancedRoutingAndSwitching,8,"Bruce Hartpence,",17:00,19:50
103,1/1/1900 17:30,2160,Tuesday,NSSA( 441)-AdvancedRoutingAndSwitching,8,"Bruce Hartpence,",17:00,19:50
104,1/1/1900 18:00,2160,Tuesday,NSSA( 441)-AdvancedRoutingAndSwitching,8,"Bruce Hartpence,",17:00,19:50
105,1/1/1900 18:30,2160,Tuesday,NSSA( 441)-AdvancedRoutingAndSwitching,8,"Bruce Hartpence,",17:00,19:50
106,1/1/1900 19:00,2160,Tuesday,NSSA( 441)-AdvancedRoutingAndSwitching,8,"Bruce Hartpence,",17:00,19:50
107,1/1/1900 19:30,2160,Tuesday,NSSA( 441)-AdvancedRoutingAndSwitching,8,"Bruce Hartpence,",17:00,19:50
108,1/1/1900 20:00,2160,Tuesday,N/A,0,N/A,N/A,N/A
109,1/1/1900 20:30,2160,Tuesday,N/A,0,N/A,N/A,N/A
110,1/1/1900 21:00,2160,Tuesday,N/A,0,N/A,N/A,N/A
111,1/1/1900 21:30,2160,Tuesday,,0,,21:30,22:00
112,1/1/1900 8:00,2160,Wednesday,,0,,8:00,8:30
113,1/1/1900 8:30,2160,Wednesday,N/A,0,N/A,N/A,N/A
114,1/1/1900 9:00,2160,Wednesday,N/A,0,N/A,N/A,N/A
115,1/1/1900 9:30,2160,Wednesday,N/A,0,N/A,N/A,N/A
116,1/1/1900 10:00,2160,Wednesday,N/A,0,N/A,N/A,N/A
117,1/1/1900 10:30,2160,Wednesday,N/A,0,N/A,N/A,N/A
118,1/1/1900 11:00,2160,Wednesday,N/A,0,N/A,N/A,N/A
119,1/1/1900 11:30,2160,Wednesday,N/A,0,N/A,N/A,N/A
120,1/1/1900 12:00,2160,Wednesday,N/A,0,N/A,N/A,N/A
121,1/1/1900 12:30,2160,Wednesday,N/A,0,N/A,N/A,N/A
122,1/1/1900 13:00,2160,Wednesday,N/A,0,N/A,N/A,N/A
123,1/1/1900 13:30,2160,Wednesday,N/A,0,N/A,N/A,N/A
124,1/1/1900 14:00,2160,Wednesday,N/A,0,N/A,N/A,N/A
125,1/1/1900 14:30,2160,Wednesday,N/A,0,N/A,N/A,N/A
126,1/1/1900 15:00,2160,Wednesday,N/A,0,N/A,N/A,N/A
127,1/1/1900 15:30,2160,Wednesday,N/A,0,N/A,N/A,N/A
128,1/1/1900 16:00,2160,Wednesday,N/A,0,N/A,N/A,N/A
129,1/1/1900 16:30,2160,Wednesday,N/A,0,N/A,N/A,N/A
130,1/1/1900 17:00,2160,Wednesday,NSSA( 241)-Intro.RoutingandSwitching,30,Mitel Kuliner,17:00,18:50
131,1/1/1900 17:30,2160,Wednesday,NSSA( 241)-Intro.RoutingandSwitching,30,Mitel Kuliner,17:00,18:50
132,1/1/1900 18:00,2160,Wednesday,NSSA( 241)-Intro.RoutingandSwitching,30,Mitel Kuliner,17:00,18:50
133,1/1/1900 18:30,2160,Wednesday,NSSA( 241)-Intro.RoutingandSwitching,30,Mitel Kuliner,17:00,18:50
134,1/1/1900 19:00,2160,Wednesday,N/A,0,N/A,N/A,N/A
135,1/1/1900 19:30,2160,Wednesday,N/A,0,N/A,N/A,N/A
136,1/1/1900 20:00,2160,Wednesday,N/A,0,N/A,N/A,N/A
137,1/1/1900 20:30,2160,Wednesday,N/A,0,N/A,N/A,N/A
138,1/1/1900 21:00,2160,Wednesday,N/A,0,N/A,N/A,N/A
139,1/1/1900 21:30,2160,Wednesday,,0,,21:30,22:00
140,1/1/1900 8:00,2320,Friday,,0,,8:00,8:30
141,1/1/1900 8:30,2320,Friday,N/A,0,N/A,N/A,N/A
142,1/1/1900 9:00,2320,Friday,N/A,0,N/A,N/A,N/A
143,1/1/1900 9:30,2320,Friday,N/A,0,N/A,N/A,N/A
144,1/1/1900 10:00,2320,Friday,NSSA( 221)-Systems Administration I,30,Garret Arcoraci,10:00,11:50
145,1/1/1900 10:30,2320,Friday,NSSA( 221)-Systems Administration I,30,Garret Arcoraci,10:00,11:50
146,1/1/1900 11:00,2320,Friday,NSSA( 221)-Systems Administration I,30,Garret Arcoraci,10:00,11:50
147,1/1/1900 11:30,2320,Friday,NSSA( 221)-Systems Administration I,30,Garret Arcoraci,10:00,11:50
148,1/1/1900 12:00,2320,Friday,NSSA( 221)-Systems Administration I,18,Jonathan Weissman,12:00,13:50
149,1/1/1900 12:30,2320,Friday,NSSA( 221)-Systems Administration I,18,Jonathan Weissman,12:00,13:50
150,1/1/1900 13:00,2320,Friday,NSSA( 221)-Systems Administration I,18,Jonathan Weissman,12:00,13:50
151,1/1/1900 13:30,2320,Friday,NSSA( 221)-Systems Administration I,18,Jonathan Weissman,12:00,13:50
152,1/1/1900 14:00,2320,Friday,NSSA( 221)-Systems Administration I,7,John Simonson,14:00,15:50
153,1/1/1900 14:30,2320,Friday,NSSA( 221)-Systems Administration I,7,John Simonson,14:00,15:50
154,1/1/1900 15:00,2320,Friday,NSSA( 221)-Systems Administration I,7,John Simonson,14:00,15:50
155,1/1/1900 15:30,2320,Friday,NSSA( 221)-Systems Administration I,7,John Simonson,14:00,15:50
156,1/1/1900 16:00,2320,Friday,N/A,0,N/A,N/A,N/A
157,1/1/1900 16:30,2320,Friday,N/A,0,N/A,N/A,N/A
158,1/1/1900 17:00,2320,Friday,N/A,0,N/A,N/A,N/A
159,1/1/1900 17:30,2320,Friday,N/A,0,N/A,N/A,N/A
160,1/1/1900 18:00,2320,Friday,N/A,0,N/A,N/A,N/A
161,1/1/1900 18:30,2320,Friday,N/A,0,N/A,N/A,N/A
162,1/1/1900 19:00,2320,Friday,N/A,0,N/A,N/A,N/A
163,1/1/1900 19:30,2320,Friday,N/A,0,N/A,N/A,N/A
164,1/1/1900 20:00,2320,Friday,N/A,0,N/A,N/A,N/A
165,1/1/1900 20:30,2320,Friday,N/A,0,N/A,N/A,N/A
166,1/1/1900 21:00,2320,Friday,N/A,0,N/A,N/A,N/A
167,1/1/1900 21:30,2320,Friday,,0,,21:30,22:00
168,1/1/1900 8:00,2320,Monday,NSSA( 102)-Computer Systems Concepts,17,Lawrence Hill,8:00,9:50
169,1/1/1900 8:30,2320,Monday,NSSA( 102)-Computer Systems Concepts,17,Lawrence Hill,8:00,9:50
170,1/1/1900 9:00,2320,Monday,NSSA( 102)-Computer Systems Concepts,17,Lawrence Hill,8:00,9:50
171,1/1/1900 9:30,2320,Monday,NSSA( 102)-Computer Systems Concepts,17,Lawrence Hill,8:00,9:50
172,1/1/1900 10:00,2320,Monday,N/A,0,N/A,N/A,N/A
173,1/1/1900 10:30,2320,Monday,N/A,0,N/A,N/A,N/A
174,1/1/1900 11:00,2320,Monday,N/A,0,N/A,N/A,N/A
175,1/1/1900 11:30,2320,Monday,N/A,0,N/A,N/A,N/A
176,1/1/1900 12:00,2320,Monday,N/A,0,N/A,N/A,N/A
177,1/1/1900 12:30,2320,Monday,N/A,0,N/A,N/A,N/A
178,1/1/1900 13:00,2320,Monday,N/A,0,N/A,N/A,N/A
179,1/1/1900 13:30,2320,Monday,N/A,0,N/A,N/A,N/A
180,1/1/1900 14:00,2320,Monday,N/A,0,N/A,N/A,N/A
181,1/1/1900 14:30,2320,Monday,N/A,0,N/A,N/A,N/A
182,1/1/1900 15:00,2320,Monday,N/A,0,N/A,N/A,N/A
183,1/1/1900 15:30,2320,Monday,N/A,0,N/A,N/A,N/A
184,1/1/1900 16:00,2320,Monday,N/A,0,N/A,N/A,N/A
185,1/1/1900 16:30,2320,Monday,N/A,0,N/A,N/A,N/A
186,1/1/1900 17:00,2320,Monday,N/A,0,N/A,N/A,N/A
187,1/1/1900 17:30,2320,Monday,N/A,0,N/A,N/A,N/A
188,1/1/1900 18:00,2320,Monday,N/A,0,N/A,N/A,N/A
189,1/1/1900 18:30,2320,Monday,N/A,0,N/A,N/A,N/A
190,1/1/1900 19:00,2320,Monday,N/A,0,N/A,N/A,N/A
191,1/1/1900 19:30,2320,Monday,N/A,0,N/A,N/A,N/A
192,1/1/1900 20:00,2320,Monday,N/A,0,N/A,N/A,N/A
193,1/1/1900 20:30,2320,Monday,N/A,0,N/A,N/A,N/A
194,1/1/1900 21:00,2320,Monday,N/A,0,N/A,N/A,N/A
195,1/1/1900 21:30,2320,Monday,,0,,21:30,22:00
196,1/1/1900 8:00,2320,Thursday,,0,,8:00,8:30
197,1/1/1900 8:30,2320,Thursday,N/A,0,N/A,N/A,N/A
198,1/1/1900 9:00,2320,Thursday,N/A,0,N/A,N/A,N/A
199,1/1/1900 9:30,2320,Thursday,NSSA( 244)-Virtualization,31,Garret Arcoraci,9:30,10:45
200,1/1/1900 10:00,2320,Thursday,NSSA( 244)-Virtualization,31,Garret Arcoraci,9:30,10:45
201,1/1/1900 10:30,2320,Thursday,NSSA( 244)-Virtualization,31,Garret Arcoraci,9:30,10:45
202,1/1/1900 11:00,2320,Thursday,N/A,0,N/A,N/A,N/A
203,1/1/1900 11:30,2320,Thursday,N/A,0,N/A,N/A,N/A
204,1/1/1900 12:00,2320,Thursday,N/A,0,N/A,N/A,N/A
205,1/1/1900 12:30,2320,Thursday,N/A,0,N/A,N/A,N/A
206,1/1/1900 13:00,2320,Thursday,N/A,0,N/A,N/A,N/A
207,1/1/1900 13:30,2320,Thursday,N/A,0,N/A,N/A,N/A
208,1/1/1900 14:00,2320,Thursday,N/A,0,N/A,N/A,N/A
209,1/1/1900 14:30,2320,Thursday,N/A,0,N/A,N/A,N/A
210,1/1/1900 15:00,2320,Thursday,N/A,0,N/A,N/A,N/A
211,1/1/1900 15:30,2320,Thursday,N/A,0,N/A,N/A,N/A
212,1/1/1900 16:00,2320,Thursday,N/A,0,N/A,N/A,N/A
213,1/1/1900 16:30,2320,Thursday,N/A,0,N/A,N/A,N/A
214,1/1/1900 17:00,2320,Thursday,N/A,0,N/A,N/A,N/A
215,1/1/1900 17:30,2320,Thursday,N/A,0,N/A,N/A,N/A
216,1/1/1900 18:00,2320,Thursday,N/A,0,N/A,N/A,N/A
217,1/1/1900 18:30,2320,Thursday,N/A,0,N/A,N/A,N/A
218,1/1/1900 19:00,2320,Thursday,N/A,0,N/A,N/A,N/A
219,1/1/1900 19:30,2320,Thursday,N/A,0,N/A,N/A,N/A
220,1/1/1900 20:00,2320,Thursday,N/A,0,N/A,N/A,N/A
221,1/1/1900 20:30,2320,Thursday,N/A,0,N/A,N/A,N/A
222,1/1/1900 21:00,2320,Thursday,N/A,0,N/A,N/A,N/A
223,1/1/1900 21:30,2320,Thursday,,0,,21:30,22:00
224,1/1/1900 8:00,2320,Tuesday,,0,,8:00,8:30
225,1/1/1900 8:30,2320,Tuesday,N/A,0,N/A,N/A,N/A
226,1/1/1900 9:00,2320,Tuesday,N/A,0,N/A,N/A,N/A
227,1/1/1900 9:30,2320,Tuesday,NSSA( 244)-Virtualization,31,Garret Arcoraci,9:30,10:45
228,1/1/1900 10:00,2320,Tuesday,NSSA( 244)-Virtualization,31,Garret Arcoraci,9:30,10:45
229,1/1/1900 10:30,2320,Tuesday,NSSA( 244)-Virtualization,31,Garret Arcoraci,9:30,10:45
230,1/1/1900 11:00,2320,Tuesday,N/A,0,N/A,N/A,N/A
231,1/1/1900 11:30,2320,Tuesday,N/A,0,N/A,N/A,N/A
232,1/1/1900 12:00,2320,Tuesday,N/A,0,N/A,N/A,N/A
233,1/1/1900 12:30,2320,Tuesday,N/A,0,N/A,N/A,N/A
234,1/1/1900 13:00,2320,Tuesday,N/A,0,N/A,N/A,N/A
235,1/1/1900 13:30,2320,Tuesday,N/A,0,N/A,N/A,N/A
236,1/1/1900 14:00,2320,Tuesday,N/A,0,N/A,N/A,N/A
237,1/1/1900 14:30,2320,Tuesday,N/A,0,N/A,N/A,N/A
238,1/1/1900 15:00,2320,Tuesday,N/A,0,N/A,N/A,N/A
239,1/1/1900 15:30,2320,Tuesday,N/A,0,N/A,N/A,N/A
240,1/1/1900 16:00,2320,Tuesday,N/A,0,N/A,N/A,N/A
241,1/1/1900 16:30,2320,Tuesday,N/A,0,N/A,N/A,N/A
242,1/1/1900 17:00,2320,Tuesday,N/A,0,N/A,N/A,N/A
243,1/1/1900 17:30,2320,Tuesday,N/A,0,N/A,N/A,N/A
244,1/1/1900 18:00,2320,Tuesday,N/A,0,N/A,N/A,N/A
245,1/1/1900 18:30,2320,Tuesday,N/A,0,N/A,N/A,N/A
246,1/1/1900 19:00,2320,Tuesday,N/A,0,N/A,N/A,N/A
247,1/1/1900 19:30,2320,Tuesday,N/A,0,N/A,N/A,N/A
248,1/1/1900 20:00,2320,Tuesday,N/A,0,N/A,N/A,N/A
249,1/1/1900 20:30,2320,Tuesday,N/A,0,N/A,N/A,N/A
250,1/1/1900 21:00,2320,Tuesday,N/A,0,N/A,N/A,N/A
251,1/1/1900 21:30,2320,Tuesday,,0,,21:30,22:00
252,1/1/1900 8:00,2320,Wednesday,NSSA( 245)-Network Services,7,Sylvia Perez-Hardy,8:00,9:50
253,1/1/1900 8:30,2320,Wednesday,NSSA( 245)-Network Services,7,Sylvia Perez-Hardy,8:00,9:50
254,1/1/1900 9:00,2320,Wednesday,NSSA( 245)-Network Services,7,Sylvia Perez-Hardy,8:00,9:50
255,1/1/1900 9:30,2320,Wednesday,NSSA( 245)-Network Services,7,Sylvia Perez-Hardy,8:00,9:50
256,1/1/1900 10:00,2320,Wednesday,NSSA( 245)-Network Services,31,Jonathan Weissman,10:00,11:50
257,1/1/1900 10:30,2320,Wednesday,NSSA( 245)-Network Services,31,Jonathan Weissman,10:00,11:50
258,1/1/1900 11:00,2320,Wednesday,NSSA( 245)-Network Services,31,Jonathan Weissman,10:00,11:50
259,1/1/1900 11:30,2320,Wednesday,NSSA( 245)-Network Services,31,Jonathan Weissman,10:00,11:50
260,1/1/1900 12:00,2320,Wednesday,NSSA( 245)-Network Services,28,Mitel Kuliner,12:00,13:50
261,1/1/1900 12:30,2320,Wednesday,NSSA( 245)-Network Services,28,Mitel Kuliner,12:00,13:50
262,1/1/1900 13:00,2320,Wednesday,NSSA( 245)-Network Services,28,Mitel Kuliner,12:00,13:50
263,1/1/1900 13:30,2320,Wednesday,NSSA( 245)-Network Services,28,Mitel Kuliner,12:00,13:50
264,1/1/1900 14:00,2320,Wednesday,NSSA( 245)-Network Services,20,Sylvia Perez-Hardy,14:00,15:50
265,1/1/1900 14:30,2320,Wednesday,NSSA( 245)-Network Services,20,Sylvia Perez-Hardy,14:00,15:50
266,1/1/1900 15:00,2320,Wednesday,NSSA( 245)-Network Services,20,Sylvia Perez-Hardy,14:00,15:50
267,1/1/1900 15:30,2320,Wednesday,NSSA( 245)-Network Services,20,Sylvia Perez-Hardy,14:00,15:50
268,1/1/1900 16:00,2320,Wednesday,N/A,0,N/A,N/A,N/A
